epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,245.936,0.42792,0.29229,0.84912,0.99596,0.98963,0.99479,0.89247,0.38112,0.2416,0.78003,0.00123566,0.00123566,0.00123566
43,250.657,0.42808,0.29307,0.85361,0.99073,0.99376,0.9945,0.90038,0.38322,0.24491,0.77999,0.00123094,0.00123094,0.00123094
44,255.53,0.42886,0.29429,0.84812,0.99523,0.99561,0.99491,0.88935,0.37806,0.24312,0.77757,0.00122622,0.00122622,0.00122622
45,260.353,0.41425,0.28538,0.84298,0.9958,0.99977,0.995,0.89709,0.36161,0.2275,0.77434,0.00122151,0.00122151,0.00122151
46,265.391,0.42453,0.29558,0.84598,0.99636,1,0.995,0.9016,0.35931,0.23839,0.77529,0.00121679,0.00121679,0.00121679
47,270.237,0.41035,0.28395,0.83759,0.99527,0.99561,0.99496,0.90244,0.35397,0.22791,0.77236,0.00121208,0.00121208,0.00121208
48,275.174,0.41004,0.27763,0.84297,0.99334,0.99561,0.99487,0.90665,0.33832,0.22115,0.77037,0.00120736,0.00120736,0.00120736
49,280.22,0.41609,0.2825,0.85021,0.99158,0.99221,0.99465,0.90214,0.35631,0.23098,0.77573,0.00120265,0.00120265,0.00120265
50,285.511,0.40742,0.27595,0.83396,0.98619,0.99115,0.99491,0.89221,0.3552,0.23707,0.77401,0.00119793,0.00119793,0.00119793
51,290.652,0.42495,0.28796,0.85767,0.99282,1,0.995,0.8987,0.37336,0.23317,0.77731,0.00119322,0.00119322,0.00119322
52,295.542,0.41729,0.28265,0.83022,0.99511,0.99561,0.99496,0.90959,0.34823,0.22517,0.77343,0.0011885,0.0011885,0.0011885
53,300.557,0.4144,0.28452,0.83734,0.98886,0.99456,0.99471,0.90155,0.37012,0.23656,0.77463,0.00118378,0.00118378,0.00118378
54,305.569,0.40157,0.27048,0.83935,0.99482,1,0.995,0.9051,0.36369,0.24268,0.7759,0.00117907,0.00117907,0.00117907
55,310.41,0.41911,0.28684,0.84436,0.99383,1,0.995,0.9088,0.35165,0.2225,0.77464,0.00117435,0.00117435,0.00117435
56,315.519,0.39714,0.27548,0.84746,0.9968,1,0.995,0.91022,0.35892,0.22219,0.77436,0.00116964,0.00116964,0.00116964
